TENSMEYER_NB;ICDAR_CLAMM;OrigFileName;Script_type_ICDAR2017;DATE_ICDAR;FileName;D1;D2;D3;D4;D5;D6;D7;D8;D9;D10;D11;D12
943;Task_1_3;315556101_MS0364_0052.tif;12_Uncial;1;315556101_MS0364_0052.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1035;Task_1_3;315556101_MS0364_0056.tif;12_Uncial;1;315556101_MS0364_0056.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1044;Task_1_3;315556101_MS0364_0061.tif;12_Uncial;1;315556101_MS0364_0061.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1364;Task_1_3;315556101_MS0364_0063.tif;12_Uncial;1;315556101_MS0364_0063.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1449;Task_1_3;315556101_MS0364_0066.tif;12_Uncial;1;315556101_MS0364_0066.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
403;Task_1_3;315556101_MS0364_0067.tif;12_Uncial;1;315556101_MS0364_0067.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
308;Task_1_3;315556101_MS0364_0072.tif;12_Uncial;1;315556101_MS0364_0072.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1943;Task_1_3;315556101_MS0364_0077.tif;12_Uncial;1;315556101_MS0364_0077.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
390;Task_1_3;315556101_MS0364_0080.tif;12_Uncial;1;315556101_MS0364_0080.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1279;Task_1_3;315556101_MS0364_0083.tif;12_Uncial;1;315556101_MS0364_0083.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
970;Task_1_3;315556101_MS0364_0085.tif;12_Uncial;1;315556101_MS0364_0085.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
802;Task_1_3;315556101_MS0364_0090.tif;12_Uncial;1;315556101_MS0364_0090.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
210;Task_1_3;315556101_MS0364_0093.tif;12_Uncial;1;315556101_MS0364_0093.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
557;Task_1_3;315556101_MS0364_0095.tif;12_Uncial;1;315556101_MS0364_0095.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
521;Task_1_3;315556101_MS0364_0101.tif;12_Uncial;1;315556101_MS0364_0101.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1294;Task_1_3;315556101_MS0364_0103.tif;12_Uncial;1;315556101_MS0364_0103.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1215;Task_1_3;315556101_MS0364_0108.tif;12_Uncial;1;315556101_MS0364_0108.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
230;Task_1_3;315556101_MS0364_0110.tif;12_Uncial;1;315556101_MS0364_0110.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1229;Task_1_3;315556101_MS0364_0111.tif;12_Uncial;1;315556101_MS0364_0111.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
1086;Task_1_3;330636101_MS0129_0009.tif;8_Semihybrida;10;330636101_MS0129_0009.tif;0.0;0.94;0.0;0.0;0.0;0.01;0.0;0.05;0.0;0.0;0.0;0.0
1181;Task_1_3;330636101_MS0129_0016.tif;8_Semihybrida;10;330636101_MS0129_0016.tif;0.0;0.2;0.0;0.0;0.0;0.67;0.0;0.13;0.0;0.0;0.0;0.0
1530;Task_1_3;330636101_MS0129_0028.tif;8_Semihybrida;10;330636101_MS0129_0028.tif;0.0;0.06;0.0;0.0;0.0;0.87;0.0;0.06;0.0;0.0;0.0;0.0
493;Task_1_3;330636101_MS0129_0035.tif;8_Semihybrida;10;330636101_MS0129_0035.tif;0.0;0.03;0.0;0.0;0.0;0.96;0.0;0.02;0.0;0.0;0.0;0.0
522;Task_1_3;330636101_MS0129_0043.tif;8_Semihybrida;10;330636101_MS0129_0043.tif;0.0;0.7;0.0;0.0;0.0;0.27;0.0;0.03;0.0;0.0;0.0;0.0
610;Task_1_3;330636101_MS0129_0056.tif;8_Semihybrida;10;330636101_MS0129_0056.tif;0.0;0.03;0.0;0.0;0.0;0.83;0.0;0.14;0.0;0.0;0.0;0.0
473;Task_1_3;330636101_MS0129_0075.tif;8_Semihybrida;10;330636101_MS0129_0075.tif;0.0;0.16;0.0;0.0;0.0;0.75;0.0;0.09;0.0;0.0;0.0;0.0
1027;Task_1_3;330636101_MS0129_0095.tif;8_Semihybrida;10;330636101_MS0129_0095.tif;0.0;0.07;0.0;0.0;0.0;0.92;0.0;0.02;0.0;0.0;0.0;0.0
6;Task_1_3;330636101_MS0129_0111.tif;8_Semihybrida;10;330636101_MS0129_0111.tif;0.0;0.21;0.0;0.0;0.0;0.72;0.0;0.07;0.0;0.0;0.0;0.0
875;Task_1_3;710146101_S_002_003_0012.tif;12_Uncial;1;710146101_S_002_003_0012.tif;0.01;0.0;0.07;0.0;0.0;0.0;0.07;0.0;0.0;0.01;0.0;0.82
1060;Task_1_3;710146101_S_002_003_0026.tif;12_Uncial;1;710146101_S_002_003_0026.tif;0.03;0.0;0.19;0.0;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.75
1082;Task_1_3;710146101_S_002_003_0027.tif;12_Uncial;1;710146101_S_002_003_0027.tif;0.0;0.0;0.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.81
1130;Task_1_3;710146101_S_002_003_0034.tif;12_Uncial;1;710146101_S_002_003_0034.tif;0.0;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.93
907;Task_1_3;710146101_S_002_003_0041.tif;12_Uncial;1;710146101_S_002_003_0041.tif;0.0;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.98
1803;Task_1_3;710146101_S_002_003_0042.tif;12_Uncial;1;710146101_S_002_003_0042.tif;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.94
857;Task_1_3;710146101_S_002_003_0107.tif;12_Uncial;1;710146101_S_002_003_0107.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
273;Task_1_3;B490076101_MS0378_0009.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0009.tif;0.0;0.0;0.0;0.02;0.0;0.0;0.01;0.0;0.0;0.96;0.01;0.0
1375;Task_1_3;B490076101_MS0378_0011.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0011.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1355;Task_1_3;B490076101_MS0378_0019.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0019.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1298;Task_1_3;B490076101_MS0378_0030.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0030.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
103;Task_1_3;B490076101_MS0378_0040.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0040.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1344;Task_1_3;B490076101_MS0378_0050.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0050.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1166;Task_1_3;B490076101_MS0378_0060.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0060.tif;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.03;0.94;0.01;0.0
362;Task_1_3;B490076101_MS0378_0070.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0070.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
891;Task_1_3;B490076101_MS0378_0080.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0080.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
487;Task_1_3;B490076101_MS0378_0090.tif;10_Textualis_meridionalis;6;B490076101_MS0378_0090.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1138;Task_1_3;btv1b10515412w_f31.tif;3_Half_Uncial;1;btv1b10515412w_f31.tif;0.01;0.0;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01
503;Task_1_3;btv1b10515412w_f49.tif;3_Half_Uncial;1;btv1b10515412w_f49.tif;0.01;0.0;0.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.01
1787;Task_1_3;btv1b10515412w_f68.tif;3_Half_Uncial;1;btv1b10515412w_f68.tif;0.03;0.0;0.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
70;Task_1_3;btv1b10515412w_f7.tif;3_Half_Uncial;1;btv1b10515412w_f7.tif;0.0;0.0;0.93;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.07
242;Task_1_3;btv1b10520644c_f12.tif;4_Humanistic;12;btv1b10520644c_f12.tif;0.0;0.01;0.0;0.94;0.02;0.02;0.0;0.0;0.0;0.0;0.0;0.0
766;Task_1_3;btv1b10520644c_f5.tif;4_Humanistic;12;btv1b10520644c_f5.tif;0.0;0.0;0.0;0.96;0.03;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1426;Task_1_3;btv1b84267835_f13.tif;12_Uncial;1;btv1b84267835_f13.tif;0.04;0.0;0.0;0.03;0.01;0.0;0.04;0.0;0.0;0.01;0.0;0.85
716;Task_1_3;btv1b84267835_f169.tif;12_Uncial;1;btv1b84267835_f169.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
955;Task_1_3;btv1b84267835_f29.tif;12_Uncial;1;btv1b84267835_f29.tif;0.0;0.0;0.0;0.01;0.0;0.0;0.04;0.0;0.0;0.01;0.01;0.93
1285;Task_1_3;btv1b84267835_f294.tif;12_Uncial;1;btv1b84267835_f294.tif;0.01;0.0;0.0;0.0;0.0;0.0;0.01;0.0;0.0;0.0;0.0;0.98
364;Task_1_3;btv1b84267835_f310.tif;12_Uncial;1;btv1b84267835_f310.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.99
780;Task_1_3;btv1b8447068x_f118.tif;4_Humanistic;10;btv1b8447068x_f118.tif;0.03;0.05;0.0;0.74;0.05;0.02;0.03;0.02;0.02;0.04;0.0;0.0
1583;Task_1_3;btv1b8447068x_f139.tif;4_Humanistic;10;btv1b8447068x_f139.tif;0.0;0.0;0.01;0.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
757;Task_1_3;btv1b8447068x_f16.tif;4_Humanistic;10;btv1b8447068x_f16.tif;0.0;0.0;0.02;0.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1637;Task_1_3;btv1b8447068x_f162.tif;4_Humanistic;10;btv1b8447068x_f162.tif;0.0;0.0;0.01;0.99;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47;Task_1_3;btv1b8447068x_f176.tif;4_Humanistic;10;btv1b8447068x_f176.tif;0.0;0.0;0.04;0.96;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1783;Task_1_3;btv1b8447068x_f197.tif;4_Humanistic;10;btv1b8447068x_f197.tif;0.0;0.0;0.08;0.92;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1136;Task_1_3;btv1b8447068x_f46.tif;4_Humanistic;10;btv1b8447068x_f46.tif;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44;Task_1_3;btv1b8447068x_f5.tif;4_Humanistic;10;btv1b8447068x_f5.tif;0.01;0.02;0.0;0.87;0.01;0.0;0.0;0.0;0.01;0.01;0.06;0.0
1212;Task_1_3;btv1b8447068x_f67.tif;4_Humanistic;10;btv1b8447068x_f67.tif;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1974;Task_1_3;btv1b8447068x_f93.tif;4_Humanistic;10;btv1b8447068x_f93.tif;0.0;0.0;0.02;0.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1714;Task_1_3;btv1b84900617_f75_1.tif;3_Half_Uncial;1;btv1b84900617_f75_1.tif;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1543;Task_1_3;btv1b84900617_f75_2.tif;3_Half_Uncial;1;btv1b84900617_f75_2.tif;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
376;Task_1_3;btv1b85722380_f139.tif;1_Caroline;1;btv1b85722380_f139.tif;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1841;Task_1_3;btv1b85722380_f17.tif;1_Caroline;1;btv1b85722380_f17.tif;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1738;Task_1_3;btv1b85722380_f241.tif;1_Caroline;1;btv1b85722380_f241.tif;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
663;Task_1_3;btv1b85722380_f37.tif;1_Caroline;1;btv1b85722380_f37.tif;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1162;Task_1_3;btv1b85722380_f93.tif;1_Caroline;1;btv1b85722380_f93.tif;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
829;Task_1_3;btv1b9059074s_f14_1.tif;8_Semihybrida;11;btv1b9059074s_f14_1.tif;0.0;0.1;0.0;0.0;0.0;0.0;0.0;0.89;0.0;0.0;0.0;0.0
1605;Task_1_3;btv1b9059074s_f14_2.tif;8_Semihybrida;11;btv1b9059074s_f14_2.tif;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.94;0.0;0.0;0.0;0.0
3;Task_1_3;btv1b9059074s_f23.tif;8_Semihybrida;11;btv1b9059074s_f23.tif;0.0;0.14;0.0;0.0;0.0;0.0;0.0;0.85;0.0;0.0;0.0;0.0
1459;Task_1_3;btv1b9059074s_f38.tif;8_Semihybrida;11;btv1b9059074s_f38.tif;0.0;0.12;0.0;0.02;0.04;0.0;0.0;0.8;0.0;0.01;0.0;0.0
104;Task_1_3;btv1b9059074s_f5_1.tif;8_Semihybrida;11;btv1b9059074s_f5_1.tif;0.0;0.25;0.0;0.0;0.0;0.0;0.0;0.75;0.0;0.0;0.0;0.0
1478;Task_1_3;btv1b9059074s_f5_2.tif;8_Semihybrida;11;btv1b9059074s_f5_2.tif;0.0;0.19;0.0;0.0;0.0;0.0;0.0;0.8;0.0;0.0;0.0;0.0
931;Task_1_3;btv1b9059074s_f8_1.tif;8_Semihybrida;11;btv1b9059074s_f8_1.tif;0.0;0.31;0.0;0.0;0.0;0.0;0.0;0.68;0.0;0.0;0.0;0.0
1303;Task_1_3;btv1b9059074s_f8_2.tif;8_Semihybrida;11;btv1b9059074s_f8_2.tif;0.0;0.17;0.0;0.0;0.0;0.0;0.0;0.83;0.0;0.0;0.0;0.0
593;Task_1_3;btv1b9065975b_f11.tif;1_Caroline;1;btv1b9065975b_f11.tif;0.95;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1874;Task_1_3;btv1b9065975b_f22.tif;1_Caroline;1;btv1b9065975b_f22.tif;0.93;0.0;0.07;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1427;Task_1_3;btv1b9065975b_f4.tif;1_Caroline;1;btv1b9065975b_f4.tif;0.98;0.0;0.02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
792;Task_1_3;btv1b9065975b_f42.tif;1_Caroline;1;btv1b9065975b_f42.tif;0.71;0.0;0.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
143;Task_1_3;btv1b9065975b_f7.tif;1_Caroline;1;btv1b9065975b_f7.tif;0.95;0.0;0.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1740;Task_1_3;btv1b9068411m_f17.tif;10_Textualis_meridionalis;7;btv1b9068411m_f17.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1896;Task_1_3;btv1b9068411m_f28.tif;10_Textualis_meridionalis;7;btv1b9068411m_f28.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
932;Task_1_3;btv1b9068411m_f5.tif;10_Textualis_meridionalis;7;btv1b9068411m_f5.tif;0.02;0.02;0.0;0.02;0.01;0.01;0.06;0.01;0.09;0.72;0.02;0.01
456;Task_1_3;btv1b9072534c_f13.tif;10_Textualis_meridionalis;7;btv1b9072534c_f13.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
91;Task_1_3;btv1b9072534c_f23.tif;10_Textualis_meridionalis;7;btv1b9072534c_f23.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1812;Task_1_3;btv1b9072534c_f33.tif;10_Textualis_meridionalis;7;btv1b9072534c_f33.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1831;Task_1_3;btv1b9072534c_f4.tif;10_Textualis_meridionalis;7;btv1b9072534c_f4.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
62;Task_1_3;btv1b9072534c_f43.tif;10_Textualis_meridionalis;7;btv1b9072534c_f43.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
1270;Task_1_3;btv1b9072534c_f53.tif;10_Textualis_meridionalis;7;btv1b9072534c_f53.tif;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0
216;Task_1_3;btv1b9072534c_f66.tif;10_Textualis_meridionalis;7;btv1b9072534c_f66.tif;0.0;0.03;0.0;0.02;0.03;0.01;0.0;0.02;0.0;0.84;0.04;0.0
