CHRISTLEIN_NB;ICDAR_CLAMM;OrigFileName;Script_type_ICDAR2017;DATE_ICDAR;FILENAME;SCRIPT_TYPE1;SCRIPT_TYPE10;SCRIPT_TYPE11;SCRIPT_TYPE12;SCRIPT_TYPE2;SCRIPT_TYPE3;SCRIPT_TYPE4;SCRIPT_TYPE5;SCRIPT_TYPE6;SCRIPT_TYPE7;SCRIPT_TYPE8;SCRIPT_TYPE9
1;Task_1_3;IRHT_P_007646.tif;6_Hybrida;10;IRHT_P_007646;0.000628242312452;0.00672371304045;0.0277420786517;0.0187665471927;0.000147283293782;0.00391004675255;0.00142857892776;0.385268796698;0.0984893301119;0.0135745399398;0.434971820661;0.00834902241764
2;Task_1_3;710146101_S_002_003_0041.tif;12_Uncial;1;710146101_S_002_003_0041;0.000224718976939;0.000767482578455;0.00345543371956;0.466578282895;0.0168182259564;0.314059347192;0.107608460536;0.00232925312122;0.00123413267356;0.00208134131141;0.0321388876214;0.0527044334175
3;Task_1_3;IRHT_P_003116.tif;1_Caroline;2;IRHT_P_003116;0.438048495804;0.00233235531019;0.10743087837;9.95670106944e-05;0.02001484985;0.0126499992179;0.00195201998892;0.000493031192673;0.000528263880736;0.381984376919;0.0311503193343;0.00331584312166
4;Task_1_3;IRHT_P_006800.tif;11_Textualis;6;IRHT_P_006800;0.0108257803713;0.191819542538;0.625017242956;0.00407139204839;0.0895353184243;0.00793013231431;3.26614396692e-05;0.0104594881177;0.000966223169884;0.00680233989815;0.00216225971018;0.0503776190121
5;Task_1_3;IRHT_P_009334.tif;11_Textualis;6;IRHT_P_009334;0.000430637221425;0.016314758402;0.572614871535;0.00849872317875;0.00958780523451;0.00281292595717;0.000198691572454;0.284366900669;0.000788611824683;0.010746640622;0.0251129268282;0.0685265069553
6;Task_1_3;IRHT_P_008835.tif;10_Textualis_meridionalis;12;IRHT_P_008835;0.000563998494127;0.615783782162;0.00629085135304;0.000961642847886;0.00217255118021;0.00579398504868;0.221411736001;0.00734313617741;0.131308904483;0.00151500315179;0.00562877302077;0.00122563608093
7;Task_1_3;M601415401_MS0456_0028.tif;5_Humanistic_Cursive;14;M601415401_MS0456_0028;0.00423200314858;0.00177792822266;0.0207196400239;0.00608370500785;0.0123368736028;0.0147343742651;0.000922406454814;0.854162532633;0.00634350277199;0.0122264141871;0.016070590298;0.0503900293844
8;Task_1_3;IRHT_P_006980.tif;7_Praegothica;3;IRHT_P_006980;0.00164320572539;0.0540541539475;0.195115910719;0.00778140413535;0.0182094694767;0.0157933554716;0.000252540363028;0.00419087339456;0.000543559350098;0.658721595613;0.0236682041271;0.020025727676
9;Task_1_3;IRHT_P_007352.tif;5_Humanistic_Cursive;10;IRHT_P_007352;0.000112743728651;0.0096017570076;0.0197776366405;2.32091439827e-05;0.00740166744863;0.00794319525216;0.015177730182;0.841300180513;0.00067953432583;0.00323603473705;0.0435874887236;0.0511588222966
10;Task_1_3;IRHT_P_008194.tif;11_Textualis;6;IRHT_P_008194;0.000121782868416;0.0850291811435;0.241762780891;0.0414648026929;0.0280280271737;0.00114624054842;0.000479412048216;0.00112340927945;0.00702153911574;0.00707053783935;0.0195029111548;0.567249375245
