Column,Manuscript H-ID,repository_key (Organisation) Record Title,idno,idMedium,support,extent,dimensions (h x w),justification : height (mm),justification : width (mm),columns,writtenLines,writtenLines (notes),writtenLines (note),script type,formality,scriptNote,note (deco),origDate,origDate : from,origDate : to,origDate : proposed date,origPlace (relationship marker) H-ID,iiif manifest
0,14,"Innsbruck, Universitätsbibliothek",281,,,151 ff. (CCLL),150 x 95,,,1.0,,,,,,,"7 miniatures, bordures, 73 lettres historiées, lettres ornées (Defuncti)",,1490,1495,,Tours,https://diglib.uibk.ac.at/i3f/v20/5921243/manifest
1,163,"Brungge, Openbare Bibliotaheek Brugge (Biekorf)",Ms. 321,3858,parchment,179 ff.,195 x 142,,,,,,,,,,,,1400,1420,c.1410,,https://sharedcanvas.be/IIIF/manifests/B_OB_SVC_MS012
2,164,"Brugge, Openbsare Bibliotheek Brugge (Biekof)",Ms. 329,100056147,parchment,144 f.,162 x 115,,,1.0,,,,,,,,,1401,1500,,,https://sharedcanvas.be/IIIF/manifests/B_OB_MS329
3,349,"Gen, Universiteitsbibliotheek",186,,parchment,145 ff. (CCLL),157 x 120,,,1.0,,,,,,,,,1430,1470,c.1440-1460,,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AACDEC1CE-F244-11E7-B6BF-C49F0AD9BE4D
4,350,"Gent, Universiteitsbibliotheek",197,,,247 ff. (CCLL),,,,1.0,,,,,,,,,1565,1565,,,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ACC0726BC-F6FA-11E7-8F64-7FDC0AD9BE4D
5,352,"Geknt, Universiteitsbibliotheek",203,,,205 ff. (CCLL),,,,1.0,,,,,,,,,1400,1500,,,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A520E37D6-23C5-11E8-8556-EB9A0AD9BE4D
6,353,"Gent, Universiteitsbibliotheek",234,9166,,108 f.,223 x 142,,,1.0,,,,,,,"34 miniatures (f. 13, 18-18v°, 22, 35v°, 37v°, 38, 39, 42, 43, 53-54, 67-67v°, 73v°-74, 76v°-77, 95v°, 96, 96v°, 97, 97v°, 98v°, 99, 99v°, 100, 101, 101v°, 102, 102v°, 103), bordures, lettres ornées (Virgo)",,1490,1510,1401-1600 (Medium) From : 1480 (CCLL) To : 1520 (CCLL),Paris,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A7F0C4994-C579-11E7-8646-155E6EE4309A
7,417,"Tournai, Bibliothèque du Séminaire",15,100046505,parchment,146 f.,200 x 135,,,1.0,,19.0,,,,,"Décoration: 22 grandes initiales, 18 de plus petite dimension, 14 encadrements, 9 bordures marginales, manuscrit amputé de toutes les miniatures à pleine page qu'il contenait. Les miniatures décoraient le début de chaque partie du codex. Grande lettrine sur fond d'or et décoration marginale au commencement de chaque heure, grandes lettrines historiées à miniature d'un très grand raffinement et de belle exécution du f. 35r au f. 39r (S. Jean-Baptiste, S. Michel, S. Nicolas, S. Sébastien, S. Adrien, S. Catherine, S. Barbara, S. Marie, S. Madeleine, S. Marguerite).",,1450,1470,c.1460,Flandre,https://bvmm.irht.cnrs.fr/iiif/21126/manifest
8,418,"Tournai, Bibliothèque du Sékminaire",16,100046506,parchment,174 f.,125 x 85,,,,,,,,,,,,1490,1510,c.1500,,https://bvmm.irht.cnrs.fr/iiif/21517/manifest
9,448,"Vancoauver, University of Brigtish Columbia Library",BX2080 A2 1430,100077811,parchment,106 f.,,,,,,,,,,,,,1430,1440,,,https://iiif.library.ubc.ca/presentation/cdm.manuscripts.1-0224790/manifest
