repository_key (Organisation) Record Title;idno;idMedium;number of volume;support;extent;leaf dimensions : height (mm);leaf dimensions : width (mm);justification : height (mm);justification : width (mm);columns;writtenLines;writtenLines (notes);writtenLines (note);script type;formality;handNote;scriptNote;note (deco);origDate;origDate : from;origDate : to;origDate : proposed date;origPlace (relationship marker) Record Title;iiif manifest
Innsbruck, Universitätsbibliothek (Organisation);281;;;;151 ff. (CCLL);150;95;;;1;;;;;;;;7 miniatures, bordures, 73 lettres historiées, lettres ornées (Defuncti);;1490;1495;;Tours (Place);https://diglib.uibk.ac.at/i3f/v20/5921243/manifest
Brugge, Openbare Bibliotheek Brugge (Biekorf) (Organisation);Ms. 321;3858;;parchment;179 ff.;195;142;;;;;;;;;;;;;1400;1420;c.1410;;https://sharedcanvas.be/IIIF/manifests/B_OB_SVC_MS012
Brugge, Openbare Bibliotheek Brugge (Biekorf) (Organisation);Ms. 329;100056147;;parchment;144 f.;162;115;;;1;;;;;;;;;;1401;1500;;;https://sharedcanvas.be/IIIF/manifests/B_OB_MS329
Gent, Universiteitsbibliotheek (Organisation);186;;;parchment;145 ff. (CCLL);157;120;;;1;;;;;;;;;;1430;1470;c.1440-1460;;https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AACDEC1CE-F244-11E7-B6BF-C49F0AD9BE4D
Gent, Universiteitsbibliotheek (Organisation);197;;;;247 ff. (CCLL);;;;;1;;;;;;;;;;1565;1565;;;https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ACC0726BC-F6FA-11E7-8F64-7FDC0AD9BE4D
Gent, Universiteitsbibliotheek (Organisation);203;;;;205 ff. (CCLL);;;;;1;;;;;;;;;;1400;1500;;;https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A520E37D6-23C5-11E8-8556-EB9A0AD9BE4D
Gent, Universiteitsbibliotheek (Organisation);234;9166;;;108 f.;223;142;;;1;;;;;;;;34 miniatures (f. 13, 18-18v°, 22, 35v°, 37v°, 38, 39, 42, 43, 53-54, 67-67v°, 73v°-74, 76v°-77, 95v°, 96, 96v°, 97, 97v°, 98v°, 99, 99v°, 100, 101, 101v°, 102, 102v°, 103), bordures, lettres ornées (Virgo);;1490;1510;1401-1600 (Medium) From : 1480 (CCLL) To : 1520 (CCLL);Paris (Place);https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A7F0C4994-C579-11E7-8646-155E6EE4309A
Tournai, Bibliothèque du Séminaire (Organisation);15;100046505;;parchment;146 f.;200;135;;;1;;19;;;;;;;;1450;1470;c.1460;Flandre (Place);https://bvmm.irht.cnrs.fr/iiif/21126/manifest
Tournai, Bibliothèque du Séminaire (Organisation);16;100046506;;parchment;174 f.;125;85;;;;;;;;;;;;;1490;1510;c.1500;;https://bvmm.irht.cnrs.fr/iiif/21517/manifest
Vancouver, University of British Columbia Library (Organisation);BX2080 A2 1430;100077811;;parchment;106 f.;;;;;;;;;;;;;;;1430;1440;;;https://iiif.library.ubc.ca/presentation/cdm.manuscripts.1-0224790/manifest
Basel, Universitätsbibliothek (Organisation);AN VIII 45;;;;125 f.;164;122;;;1;;;;;;;;;;1451;1475;From : 1465 (CCLL) To : 1465 (CCLL);Ferrara (Place);https://www.e-codices.unifr.ch/metadata/iiif/ubb-AN-VIII-0045/manifest.json
Chavannes-près-Renens, Archives cantonales vaudoises (Organisation);P Château de la Sarraz H 50;100090682;;;A-B+378+Y-Z ff. (CCLL);;;;;;;;;;;;;;1421;1411;1431;From : 1421 (CCLL) To : 1421 (CCLL);Paris (Place);https://www.e-codices.unifr.ch/metadata/iiif/acv-P-Sarraz-H-0050/manifest.json
Genève, Bibliothèque de Genève (Organisation);Comites Latentes 038;100128060;;;;;;;;1;;;;;;;;;;1465;1475;;;https://e-codices.unifr.ch/metadata/iiif/bge-cl0038/manifest.json
Genève, Bibliothèque de Genève (Organisation);Comites Latentes 054;;;;226 f.;;;;;;;;;;;;;;;1451;1475;;Firenze (Place);https://www.e-codices.unifr.ch/metadata/iiif/bge-cl0054/manifest.json
Genève, Bibliothèque de Genève (Organisation);Comites Latentes 124;;;;;;;;;;;;;;;;;;;;;;;https://www.e-codices.unifr.ch/metadata/iiif/bge-cl0124/manifest.json
Genève, Bibliothèque de Genève (Organisation);lat. 031;100086638;;;222 ff. (CCLL);185;130;98;62;1;15;;;;;;Minuscule gothique (XVe s.);35 miniatures (f. 15, 18v°, 20, 21v°, 25v°, 31, 56v°, 68v°, 75, 80, 84v°, 89, 96v°, 103, 123, 131v°, 139, 191, 197v°, 201v°, 202, 203, 203v°, 204v°- 205v° , 206v°, 208, 209-209v°, 210v°, 211, 212-212v°), bordures, lettres ornées (Virgo);;1450;1500;2e moitié XVe s.;France (Place);https://e-codices.unifr.ch/metadata/iiif/bge-lat0031/manifest.json
Genève, Bibliothèque de Genève (Organisation);lat. 032;;;;244 ff. (CCLL);160;115;90;60;1;20;;;;;;Minuscule bâtarde (XVe s.);8 miniatures (f. 29, 52, 68, 83, 97, 115, 131, 149), bordures, 9 lettres historiées (f. 13, 14, 15v°, 16v°, 17v°, 24, 29, 204v°, 215), lettres ornées et filigranées (Virgo);;1440;1460;From : 1435 (CCLL) To : 1460 (CCLL)|XVe s.;Paris (Place);https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0032/manifest.json
Genève, Bibliothèque de Genève (Organisation);lat. 032a;;;;II+092+II+I ff. (CCLL);191;141;95;67;1;18;;;;;;Minuscule gothique (XVe s.);2 miniatures (f. 15, 74v°), bordures, lettres ornées et filigranées (Virgo);;1450;1470;From : 1400 (CCLL) To : 1500 (CCLL)|XVe s. (v. 1460);Geneva (Place);https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0032a/manifest.json
Genève, Bibliothèque de Genève (Organisation);lat. 033;100086639;;parchment;187 f.;135;90;65;45;1;14;;;;;;Minuscule bâtarde primitive;22 miniatures (f. 13, 15, 17, 19, 21, 45v°, 57, 58v°, 60, 66v°, 71, 75, 79, 87v°, 96, 120, 169v°, 172v°, 176, 181v°, 186, 187), bordures, lettres ornées (Virgo);;1451;1475;From : 1475 (CCLL) To : 1500 (CCLL)|3e quart du XVe s.;France (Place);https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0033/manifest.json
Genève, Bibliothèque de Genève (Organisation);lat. 034;9249;;;126 ff. (CCLL);167;108;113;62;1;24;;;;;;Minuscule bâtarde (XVe s.);6 miniatures (f. 15, 23, 74, 94v°, 108v°, 111v°), bordures, lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1450 (CCLL) To : 1500 (CCLL)|2e moitié XVe s.;Tours (Place);https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0034/manifest.json
Genève, Bibliothèque de Genève (Organisation);lat. 035;9250;;;192 ff. (CCLL);170;118;86;54;1;14;;;;;;Minuscule bâtarde;14 miniatures (f. 13, 21v°, 33, 50, 67, 74, 80v°, 87, 93, 105, 113, 142, 153, 162), bordures, 17 lettres historiées (f. 15v°, 17v°, 19v°, 21v°, 26v°, 50, 67, 74, 80, 93, 105, 113, 142, 153, 162, 164, 172), lettres ornées (Virgo);;1401;1500;1401-1500 (Medium) From : 1450 (CCLL) To : 1500 (CCLL)|2e moitié XVe s.;France (Place);https://www.e-codices.unifr.ch/metadata/iiif/bge-lat0035/manifest.json
