ID	Cote	Date_categorie	Datation	Contenu	Lien à la page	Ecriture	Formalité	Nombre de lignes par page complète	Nombre de colonnes	Gallica
515	AIX-EN-PROVENCE, Bibliothèque municipale, 1451 (1315)	14-15	14e-15e s.	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=7142&VUE_ID=1246757	Textualis	Formata	13	1	
1362	NANTERRE, Archives départementales des Hauts-de-Seine, Desguine, ms. 064	15 (2/2)	1451-1500	Heures						
1405	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 757	14 (3/3)	1385?-1390?			Textualis meridionalis	Formata		2	http://gallica.bnf.fr/ark:/12148/btv1b8470209d
171	BESANCON, Bibliothèque municipale, 0159	16 (2/3)	16e s. (milieu)	Heures à l'usage de Toul	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=7735&VUE_ID=1255089	Semihybrida	Libraria	27	1	
552	AMIENS, Bibliothèque municipale, Lescalopier 022	16 (2/3)	1555 circa)	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=15357&VUE_ID=1392171	Humanistique	Formata	19	1	
467	MONTBRISON, Musée d'Allard, ms. C	16 (1/3)	1500-1525	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=15884&VUE_ID=1400095	Hybrida	Formata	13	1	
1213	PARIS, Musée de Cluny, Cl. 11314 (a-l)	15	1401-1500	Heures (fragment) : Mois de janvier-décembre	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=16202&VUE_ID=1409159	Textualis	Formata	17	1	
1290	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 703	15 (2/2)	1451-1500	Heures					1	oo
363	ROMORANTIN, Bibliothèque municipale, 0016	16 (1/3)	16e s. (avant 1530)	Heures à l'usage de Bourges	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=8640&VUE_ID=1269744	Hybrida	Libraria	26	1	
1916	PARIS, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 1196	15	14..							oo
1654	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 14831	15 (3/3)	1480-1500						1	oo
632	ROUEN, Bibliothèque municipale, suppl. ** (Martainville 0183)	16	1501-1600	Heures						
1280	DIJON, Bibliothèque municipale, 3765	15 (3/3)	1475-1500	Heures						
55	ROUEN, Bibliothèque municipale, 3027 (Leber 0141)	16	1501-1600	Horae, cum calendario						
853	CAEN, Musée des Beaux-Arts, Coll. Mancel ms. 0239	15 (2/3)	1451-1475	Heures à l'usage de Bayeux	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=4237&VUE_ID=934750	Textualis	Formata	15	1	
635	ROUEN, Bibliothèque municipale, suppl. 0113 (p 035)	16 (1/3)	1501-1515	Heures à l'usage de Rouen						
1377	RIOM, Musée Mandet, C.R. 79.8.05	14	1301-1400	Heures (fragment)						
1566	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 10536	15 (2/2)	1451-1500			Cursiva	Libraria		1	http://gallica.bnf.fr/ark:/12148/btv1b9066070g.r=.langFR
1504	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1385	15-16	1490-1510			Cursiva	Formata	14	1	oo
337	LYON, Bibliothèque municipale, 0579 (0495)	16	1501-1600	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=12374&VUE_ID=1331547	Cursiva	Formata	39	1	
1690	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 392	16 (1/3)	1500?-1514? [CMD 1515 ca]			Hybrida	Libraria/Formata	24	1	oo
962	GRENOBLE, Bibliothèque municipale, 0186  (Ms.0879)	16	1501-1600	Heures						
428	ANGERS, Bibliothèque municipale, 2048	15 (3/3)	1485 circa	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=4660&VUE_ID=1019464	Cursiva	Formata	33	1	
1788	PARIS, Bibliothèque nationale de France, Manuscrits, nouv. acq. lat. 3214	15 (2/3)	1460-1470 circa	Heures de la Vierge		Textualis	Libraria	15	1	http://gallica.bnf.fr/ark:/12148/btv1b8452837v.r=.langFR
95	DOUAI, Bibliothèque municipale, 0177	16	1501-1600	Horae Beatae Mariae Virginis						
1364	NANTERRE, Archives départementales des Hauts-de-Seine, Desguine, ms. 067	15	1401-1500	Heures						
1490	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 1370	15 (3/3)	1485?			Cursiva	Formata	16	1	http://gallica.bnf.fr/ark:/12148/btv1b8453974s.r=.langFR
1642	PARIS, Bibliothèque nationale de France, Manuscrits, lat. 13306	15 (2/2)	1451-1500						1	oo
1942	London, British Library, MS Add. 35315	16 (1/3)	1515-1520 ca			Humanistique cursive				
68	EVREUX, Société libre d'agriculture, sciences, arts et belles lettres de l'Eure, lat. 01	15	1401-1500	Horae, cum calendario						
155	BESANCON, Bibliothèque municipale, 0127	16 (2/3)	1540)	Heures à l'usage de Rome	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=7713&VUE_ID=1254269	Humanistique	Formata	23	1	
189	CHANTILLY, Bibliothèque du château, 0075 (1140)	15 (3/3)	1485 post	Heures de Jeanne de Laval à l'usage du Mans	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&panier=false&reproductionId=209&VUE_ID=135605	Cursiva	Libraria	24	1	
1747	Paris, Bibl. Nat. Smith-Lesouëf 42	16 (1/3)	1520-1530			Humanistique	Formata		1	oo
732	AMIENS, Bibliothèque municipale, Lescalopier 025	0		Heures à l'usage de Châlons						
1829	PARIS, Bibliothèque nationale de France, Bibliothèque de l'Arsenal, 415	16 (2/3)	1540?			Humanistique	Formata			oo
501	CARPENTRAS, Bibliothèque municipale, 0058	15-16	1480-1520	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=15652&VUE_ID=1396751	Cursiva	Formata	20	1	
759	POITIERS, Bibliothèque municipale, 1097	15 (3/3)	1475)	Heures à l'usage de Poitiers						
630	ROUEN, Bibliothèque municipale, 0361 (A. 579)	15	1401-1500	Heures						
374	AUXERRE, Trésor de la Cathédrale, n°019	16	1501-1600	Heures	http://bvmm.irht.cnrs.fr/consult/consult.php?mode=ecran&reproductionId=16681&VUE_ID=1416154	Textualis	Formata	15	1	
