Manuscript H-ID;rec_Title;origPlace (relationship marker) H-ID;Country
1;Admont, Stiftsbibliothek, 876b;;
2;Göttweig, Stiftsbibliothek, 450 (235);;
3;Göttweig, Stiftsbibliothek, 452 (237);;
4;Göttweig, Stiftsbibliothek, 453 (238);;
5;Göttweig, Stiftsbibliothek, Sn 1;;
6;Graz, Steiermärkisches Landesmuseum Joanneum, Inv. 21375;;
7;Graz, Universitätsbibliothek, 1119;;
8;Graz, Universitätsbibliothek, 1244;;
9;Graz, Universitätsbibliothek, 1257;;
10;Graz, Universitätsbibliothek, 1580;;
11;Graz, Universitätsbibliothek, 1656;;
12;Innsbruck, Servitenkloster, Bibliothek 9 A;38122;Italy
13;Innsbruck, Tiroler Landesmuseum Ferdinandeum, F. B. 0127;306162;Italy
14;Innsbruck, Universitätsbibliothek, 281;38032;France
15;Kremsmünster, Stiftsbibliothek, CC Cim. 4;38133;Italy
16;Melk, Stiftsbibliothek, 1845;37816;Italy
17;Sankt Paul im Lavanttal, Stiftsbibliothek, 26.1.35;;
18;Sankt Paul im Lavanttal, Stiftsbibliothek, 72/1 (25.1.15);37782;Italy
46;Seckau, Benediktinerabtei, 555;37854;Italy
47;Stams, Zisterzienserstift, Bibliothek 44;306120|306170;|Austria
48;Vorau, Stiftsbibliothek, 402;;
49;Wien, Kunsthistorisches Museum, Stiftung Krausshaar, Inv. 14642;;
50;Wien, Museum für angewandte Kunst, Cod. Lat. XIV (S5);;
51;Wien, Österreichische Nationalbibliothek, Cod. 01800;;
52;Wien, Österreichische Nationalbibliothek, Cod. 01840;37858;France
53;Wien, Österreichische Nationalbibliothek, Cod. 01849 - Theol. 981;;
54;Wien, Österreichische Nationalbibliothek, Cod. 01853;;
55;Wien, Österreichische Nationalbibliothek, Cod. 01853*;;
56;Wien, Österreichische Nationalbibliothek, Cod. 01855;37858;France
57;Wien, Österreichische Nationalbibliothek, Cod. 01856 (Theol. 954);37782;Italy
58;Wien, Österreichische Nationalbibliothek, Cod. 01857;;
59;Wien, Österreichische Nationalbibliothek, Cod. 01858;306167|37509;Netherlands|Belgium
60;Wien, Österreichische Nationalbibliothek, Cod. 01859;;
61;Wien, Österreichische Nationalbibliothek, Cod. 01862;;
62;Wien, Österreichische Nationalbibliothek, Cod. 01875;;
63;Wien, Österreichische Nationalbibliothek, Cod. 01881;38125;France
64;Wien, Österreichische Nationalbibliothek, Cod. 01883;;
65;Wien, Österreichische Nationalbibliothek, Cod. 01886 - Hohend.Q.3,Theol.964;37816;Italy
66;Wien, Österreichische Nationalbibliothek, Cod. 01887;;
67;Wien, Österreichische Nationalbibliothek, Cod. 01889;38125;France
68;Wien, Österreichische Nationalbibliothek, Cod. 01897;306167|37652;Netherlands|Belgium
69;Wien, Österreichische Nationalbibliothek, Cod. 01900;37930;France
70;Wien, Österreichische Nationalbibliothek, Cod. 01905;;
71;Wien, Österreichische Nationalbibliothek, Cod. 01906;;
72;Wien, Österreichische Nationalbibliothek, Cod. 01907;;
73;Wien, Österreichische Nationalbibliothek, Cod. 01908;;
74;Wien, Österreichische Nationalbibliothek, Cod. 01910 (Theol. 706);38068;Italy
75;Wien, Österreichische Nationalbibliothek, Cod. 01911 (Nov. 292);;
76;Wien, Österreichische Nationalbibliothek, Cod. 01921;;
77;Wien, Österreichische Nationalbibliothek, Cod. 01922;;
78;Wien, Österreichische Nationalbibliothek, Cod. 01926;;
79;Wien, Österreichische Nationalbibliothek, Cod. 01927;;
80;Wien, Österreichische Nationalbibliothek, Cod. 01929;306138|37858;France|France
81;Wien, Österreichische Nationalbibliothek, Cod. 01940;;
82;Wien, Österreichische Nationalbibliothek, Cod. 01944;;
83;Wien, Österreichische Nationalbibliothek, Cod. 01951;;
84;Wien, Österreichische Nationalbibliothek, Cod. 01954;;
85;Wien, Österreichische Nationalbibliothek, Cod. 01961;37858;France
86;Wien, Österreichische Nationalbibliothek, Cod. 01969;;
87;Wien, Österreichische Nationalbibliothek, Cod. 01970 - (Hohend.O.2);37854;Italy
88;Wien, Österreichische Nationalbibliothek, Cod. 01979;;
89;Wien, Österreichische Nationalbibliothek, Cod. 01984;;
90;Wien, Österreichische Nationalbibliothek, Cod. 01987;;
91;Wien, Österreichische Nationalbibliothek, Cod. 01988;306167|37652;Netherlands|Belgium
92;Wien, Österreichische Nationalbibliothek, Cod. 02003;;
93;Wien, Österreichische Nationalbibliothek, Cod. 02004;37858;France
94;Wien, Österreichische Nationalbibliothek, Cod. 02005;;
95;Wien, Österreichische Nationalbibliothek, Cod. 02026;;
96;Wien, Österreichische Nationalbibliothek, Cod. 02032;;
97;Wien, Österreichische Nationalbibliothek, Cod. 02656;;
98;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02596;;
99;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02598;;
100;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02600;;
101;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02613;306135|38041|37858;France|France|France
102;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02614;37858;France
103;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02615;38125|306143|306186|306176;France|France|France|France
104;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02624;;
105;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02625;;
106;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 02844;;
107;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 04254;;
108;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 04641;;
109;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 09324;;
110;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 09450;;
111;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 12878;38053|37509;Netherlands|Belgium
112;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13232;;
113;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13237;;
114;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13238;;
115;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13239;306167|37652;Netherlands|Belgium
116;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13240;306167;Netherlands
117;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13241;;
118;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13242;37908;France
119;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13243;;
120;Wien, Österreichische Nationalbibliothek, Cod. Ser. n. 13247;;
121;[current whereabouts unknown], Inconnu - AUT, Wien, Auktionen H. D. Rauch, 61;37631;Italy
122;Adelaide, State Library of South Australia, 096/Sp. - CAN, Montréal, Collection Me.L.V.Randall;;
123;Adelaide, State Library of South Australia, Church. 154 - CAN, Toronto, Collection Bergendal;;
124;Adelaide, State Library of South Australia, rbr 096 C363 - CHE, Montalchez, Gabus Pierre-Yves;306192;
125;Adelaide, State Library of South Australia, Sn 1 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
126;Ballarat, Art Gallery of Ballarat, 172 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
127;Ballarat, Art Gallery of Ballarat, Crouch 02 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;37631;Italy
128;Ballarat, Art Gallery of Ballarat, Crouch 08 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
129;Ballarat, Art Gallery of Ballarat, Sinclair 167 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;37631;Italy
130;Canberra, National Library of Australia, 1097/2 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
131;Canberra, National Library of Australia, 1097/5 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;37638;France
132;Canberra, National Library of Australia, 1097/9 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;306165;Netherlands
133;Canberra, National Library of Australia, Clifford 1097/6 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;37630;Italy
134;Melbourne, National Gallery of Victoria, Felton 1072/3 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
135;Melbourne, National Gallery of Victoria, Felton 869-5 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;37631;Italy
136;Melbourne, State Library of Victoria, 096 R66 (Sinclair 216) - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
137;Melbourne, State Library of Victoria, 096/R66 - CHE, Bern, Galerie Kornfeld;;
138;Melbourne, State Library of Victoria, 096/R66Hb - DEU, Köln, Venator + Haustein Auktion;37509;Belgium
139;Melbourne, State Library of Victoria, 096/R66Hf - DEU, Köln, Renate König Collection;;
140;Melbourne, State Library of Victoria, 096/R66Ho - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
141;Sydney, State Library of New South Wales, SAFE/4/ 1 - The Dixson Library 4/1;;
142;Sydney, State Library of New South Wales, SAFE/5/1 - The Dixson Library 5/1;;
143;Sydney, The Fisher Library, Sn 1 - CHE, Rotthalmünster, Antiquariat Bibermühle Heribert Tenschert;;
144;Sydney, State Library of New South Wales, 01/7 b. - The Mitchell Library 01/7 b.;;
145;Sydney, State Library of New South Wales, 01/7 c. - The Mitchell Library 01/7 c.;;
146;Sydney, State Library of New South Wales, 01/7 d. - The Mitchell Library 01/7 d.;;
147;Sydney, State Library of New South Wales, 01/7 e. - The Mitchell Library 01/7 e.;;
148;Sydney, State Library of New South Wales, 01/7 f. - The Mitchell Library 01/7 f.;;
149;Antwerpen, Museum Mayer Van den Bergh, Inv. 0299 - FRA, Paris, Hôtel Drouot;;
150;Antwerpen, Museum Mayer Van den Bergh, MMB.0606 - FRA, Paris, Hôtel Drouot (Millon and Associés);;
151;Antwerpen, Museum Mayer Van den Bergh, MMB.0620 - GBR, London, Sidney Cockerell;;
152;Antwerpen, Museum Plantin-Moretus, 175 - M 14.14,GBR, London, Christie's;;
153;Antwerpen, Museum Plantin-Moretus, M 369 - 85 (anc. 197),GBR, London, Christie's;;
154;Beloeil, Bibliothèque du château du Prince de Ligne, s.n. - GBR, London, Christie's;306136;France
155;Beloeil, Bibliothèque du château du Prince de Ligne, s.n. - GBR, London, Christie's;37573;France
156;Beloeil, Bibliothèque du château du Prince de Ligne, s.n. - GBR, London, Christie's;37791;Belgium
158;Brugge, Archief Grootseminarie, 09a/11 - London, Collection Christopher de Hamel;;
159;Brugge, Archief Grootseminarie, 09a/14 - GBR, London, Sam Fogg cat. 12;;
160;Brugge, Archief Grootseminarie, 66/35;;
161;Brugge, Archief Grootseminarie, 67/31;;
162;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 320;;
163;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 321;;
164;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 329;;
165;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 330;;
166;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 331;;
167;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 332;;
168;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 333;306167;Netherlands
169;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 315;;
170;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 322;;
171;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 324;;
172;Brugge, Openbare Bibliotheek Brugge (Biekorf), Ms. 328;;
177;Bruxelles, Bibliothèque royale de Belgique, 2890;;
178;Bruxelles, Bibliothèque royale de Belgique, 2893;;
179;Bruxelles, Bibliothèque royale de Belgique, 2935;;
180;Bruxelles, Bibliothèque royale de Belgique, 4483;;
181;Bruxelles, Bibliothèque royale de Belgique, 4917;;
182;Bruxelles, Bibliothèque royale de Belgique, 5849;;
183;Bruxelles, Bibliothèque royale de Belgique, 5851;;
184;Bruxelles, Bibliothèque royale de Belgique, 9391;;
185;Bruxelles, Bibliothèque royale de Belgique, 9484;37858;France
186;Bruxelles, Bibliothèque royale de Belgique, 9785;37573|306167;France|Netherlands
187;Bruxelles, Bibliothèque royale de Belgique, 09785;;
188;Bruxelles, Bibliothèque royale de Belgique, 9798;306167|37509;Netherlands|Belgium
189;Bruxelles, Bibliothèque royale de Belgique, 10392;37858;France
190;Bruxelles, Bibliothèque royale de Belgique, 10528;37510;Belgium
191;Bruxelles, Bibliothèque royale de Belgique, 10531;;
