"Manuscript H-ID","repository_key (Organisation) H-ID",rec_Title,"repository_key (Organisation) Record Title",rec_Title,idno,altIdentifier,idMedium,"number of volume",support,extent,"leaf dimensions : height (mm)","leaf dimensions : width (mm)","justification : height (mm)","justification : width (mm)",columns,writtenLines,"writtenLines (notes)","writtenLines (note)","script type",formality,handNote,scriptNote,"note (deco)",origDate,"origDate : from","origDate : to","origDate : proposed date","origPlace (relationship marker) (Organisation) H-ID",rec_Title,"origPlace (relationship marker) (Organisation) Record Title",rec_Title,"origPlace (relationship marker) H-ID",rec_Title,"origPlace (relationship marker) Record Title",rec_Title,"origPlace : proposed origin","iiif manifest"
14,740110,"Innsbruck, Universitätsbibliothek (Organisation)","Innsbruck, Universitätsbibliothek (Organisation)",rec_Title,281,,,,,"151 ff. (CCLL)",150,95,,,1,,,,,,,,"7 miniatures, bordures, 73 lettres historiées, lettres ornées (Defuncti)",,1490,1495,,,,38032,,"Tours (Place)",rec_Title,,,https://diglib.uibk.ac.at/i3f/v20/5921243/manifest,
163,739655,"Brugge, Openbare Bibliotheek Brugge (Biekorf) (Organisation)","Brugge, Openbare Bibliotheek Brugge (Biekorf) (Organisation)",rec_Title,"Ms. 321",,3858,,parchment,"179 ff.",195,142,,,,,,,,,,,,,1400,1420,c.1410,,,,,,,,,https://sharedcanvas.be/IIIF/manifests/B_OB_SVC_MS012,
164,739655,"Brugge, Openbare Bibliotheek Brugge (Biekorf) (Organisation)","Brugge, Openbare Bibliotheek Brugge (Biekorf) (Organisation)",rec_Title,"Ms. 329",,100056147,,parchment,"144 f.",162,115,,,1,,,,,,,,,,1401,1500,,,,,,,,,,https://sharedcanvas.be/IIIF/manifests/B_OB_MS329,
349,739678,"Gent, Universiteitsbibliotheek (Organisation)","Gent, Universiteitsbibliotheek (Organisation)",rec_Title,186,,,,parchment,"145 ff. (CCLL)",157,120,,,1,,,,,,,,,,1430,1470,c.1440-1460,,,,,,,,,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3AACDEC1CE-F244-11E7-B6BF-C49F0AD9BE4D,
350,739678,"Gent, Universiteitsbibliotheek (Organisation)","Gent, Universiteitsbibliotheek (Organisation)",rec_Title,197,,,,,"247 ff. (CCLL)",,,,,1,,,,,,,,,,1565,1565,,,,,,,,,,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3ACC0726BC-F6FA-11E7-8F64-7FDC0AD9BE4D,
352,739678,"Gent, Universiteitsbibliotheek (Organisation)","Gent, Universiteitsbibliotheek (Organisation)",rec_Title,203,,,,,"205 ff. (CCLL)",,,,,1,,,,,,,,,,1400,1500,,,,,,,,,,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A520E37D6-23C5-11E8-8556-EB9A0AD9BE4D,
353,739678,"Gent, Universiteitsbibliotheek (Organisation)","Gent, Universiteitsbibliotheek (Organisation)",rec_Title,234,,9166,,,"108 f.",223,142,,,1,,,,,,,,"34 miniatures (f. 13, 18-18v°, 22, 35v°, 37v°, 38, 39, 42, 43, 53-54, 67-67v°, 73v°-74, 76v°-77, 95v°, 96, 96v°, 97, 97v°, 98v°, 99, 99v°, 100, 101, 101v°, 102, 102v°, 103), bordures, lettres ornées (Virgo)",,1490,1510,"1401-1600 (Medium) From : 1480 (CCLL) To : 1520 (CCLL)",,,37858,,"Paris (Place)",rec_Title,,,https://adore.ugent.be/IIIF/manifests/archive.ugent.be%3A7F0C4994-C579-11E7-8646-155E6EE4309A,
417,739866,"Tournai, Bibliothèque du Séminaire (Organisation)","Tournai, Bibliothèque du Séminaire (Organisation)",rec_Title,15,,100046505,,parchment,"146 f.",200,135,,,1,,19,,,,,,"Décoration: 22 grandes initiales, 18 de plus petite dimension, 14 encadrements, 9 bordures marginales, manuscrit amputé de toutes les miniatures à pleine page qu'il contenait. Les miniatures décoraient le début de chaque partie du codex. Grande lettrine sur fond d'or et décoration marginale au commencement de chaque heure, grandes lettrines historiées à miniature d'un très grand raffinement et de belle exécution du f. 35r au f. 39r (S. Jean-Baptiste, S. Michel, S. Nicolas, S. Sébastien, S. Adrien, S. Catherine, S. Barbara, S. Marie, S. Madeleine, S. Marguerite).",,1450,1470,c.1460,,,306129,,"Flandre (Place)",rec_Title,,,https://bvmm.irht.cnrs.fr/iiif/21126/manifest,
418,739866,"Tournai, Bibliothèque du Séminaire (Organisation)","Tournai, Bibliothèque du Séminaire (Organisation)",rec_Title,16,,100046506,,parchment,"174 f.",125,85,,,,,,,,,,,,,1490,1510,c.1500,,,,,,,,,https://bvmm.irht.cnrs.fr/iiif/21517/manifest,
448,739955,"Vancouver, University of British Columbia Library (Organisation)","Vancouver, University of British Columbia Library (Organisation)",rec_Title,"BX2080 A2 1430",,100077811,,parchment,"106 f.",,,,,,,,,,,,,,,1430,1440,,,,,,,,,,https://iiif.library.ubc.ca/presentation/cdm.manuscripts.1-0224790/manifest,
458,739966,"Basel, Universitätsbibliothek (Organisation)","Basel, Universitätsbibliothek (Organisation)",rec_Title,"AN VIII 45",,,,,"125 f.",164,122,,,1,,,,,,,,,,1451,1475,"From : 1465 (CCLL) To : 1465 (CCLL)",,,37630,,"Ferrara (Place)",rec_Title,,,https://www.e-codices.unifr.ch/metadata/iiif/ubb-AN-VIII-0045/manifest.json,
461,739988,"Chavannes-près-Renens, Archives cantonales vaudoises (Organisation)","Chavannes-près-Renens, Archives cantonales vaudoises (Organisation)",rec_Title,"P Château de la Sarraz H 50",,100090682,,,"A-B+378+Y-Z ff. (CCLL)",,,,,,,,,,,,,,1421,1411,1431,"From : 1421 (CCLL) To : 1421 (CCLL)",,,37858,,"Paris (Place)",rec_Title,,,https://www.e-codices.unifr.ch/metadata/iiif/acv-P-Sarraz-H-0050/manifest.json,
504,740055,"Genève, Bibliothèque de Genève (Organisation)","Genève, Bibliothèque de Genève (Organisation)",rec_Title,"Comites Latentes 038",,100128060,,,,,,,,1,,,,,,,,,,1465,1475,,,,,,,,,,https://e-codices.unifr.ch/metadata/iiif/bge-cl0038/manifest.json,
510,740055,"Genève, Bibliothèque de Genève (Organisation)","Genève, Bibliothèque de Genève (Organisation)",rec_Title,"Comites Latentes 054",,,,,"226 f.",,,,,,,,,,,,,,,1451,1475,,,,37631,,"Firenze (Place)",rec_Title,,,https://www.e-codices.unifr.ch/metadata/iiif/bge-cl0054/manifest.json,
513,740055,"Genève, Bibliothèque de Genève (Organisation)","Genève, Bibliothèque de Genève (Organisation)",rec_Title,"Comites Latentes 124",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.e-codices.unifr.ch/metadata/iiif/bge-cl0124/manifest.json,
